Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,AcceptedCmpOverall,MntRegularProds,Marital_Status,Education,Kids,TotalPurchases,TotalCampaigns
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,8,2822,0,0,1,0,0,0,0,1,0,0,1529,0,1529,Single,Graduation,0,25,1
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,6,2272,0,0,1,0,0,0,0,1,0,0,21,0,21,Single,Graduation,2,6,0
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,7,2471,0,0,0,1,0,0,0,1,0,0,734,0,734,Together,Graduation,0,21,0
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,6,2298,0,0,0,1,0,0,0,1,0,0,48,0,48,Together,Graduation,1,8,0
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,6,2320,0,1,0,0,0,0,0,0,0,1,407,0,407,Married,PhD,1,19,0
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,7,2452,0,0,0,1,0,0,0,0,1,0,702,0,702,Together,Master,1,22,0
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,8,2752,1,0,0,0,0,0,0,1,0,0,563,0,563,Divorced,Graduation,1,21,0
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,7,2576,0,1,0,0,0,0,0,0,0,1,146,0,146,Married,PhD,1,10,0
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,7,2547,0,0,0,1,0,0,0,0,0,1,44,0,44,Together,PhD,1,6,1
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,6,2267,0,0,0,1,0,0,0,0,0,1,36,1,36,Together,PhD,2,2,1
7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,8,2752,0,1,0,0,0,0,1,0,0,0,45,0,45,Married,Basic,0,6,0
63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,7,2385,1,0,0,0,0,0,0,1,0,0,1072,0,1072,Divorced,Graduation,0,16,0
59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,7,2385,1,0,0,0,0,0,0,0,1,0,296,0,296,Divorced,Master,2,15,0
17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,8,2786,0,1,0,0,0,0,0,1,0,0,41,0,41,Married,Graduation,0,5,0
82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,8,2741,0,0,1,0,0,0,0,0,0,1,1270,2,1270,Single,PhD,0,26,3
41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,7,2711,0,1,0,0,0,0,0,1,0,0,92,0,92,Married,Graduation,2,9,0
37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,8,2826,0,0,0,1,0,0,0,1,0,0,289,0,289,Together,Graduation,0,13,0
76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,7,2617,0,1,0,0,0,0,0,0,1,0,1606,1,1606,Married,Master,1,26,1
33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,8,2762,0,0,1,0,0,1,0,0,0,0,94,0,94,Single,2n Cycle,1,8,0
37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,8,2849,0,1,0,0,0,0,0,1,0,0,268,0,268,Married,Graduation,0,12,0
2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,7,2698,0,1,0,0,0,0,0,1,0,0,1729,0,1729,Married,Graduation,1,43,0
58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,7,2712,0,1,0,0,0,0,0,0,0,1,953,1,953,Married,PhD,1,17,1
65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,6,2328,0,1,0,0,0,0,0,0,0,1,539,0,539,Married,PhD,1,20,0
40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,7,2627,0,0,0,1,0,0,0,1,0,0,345,0,345,Together,Graduation,1,20,0
18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,7,2702,0,0,1,0,0,0,0,1,0,0,62,0,62,Single,Graduation,0,8,0
53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,7,2557,0,1,0,0,0,0,0,1,0,0,216,0,216,Married,Graduation,2,14,0
38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,7,2553,0,1,0,0,0,0,0,1,0,0,121,0,121,Married,Graduation,1,9,0
84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,7,2378,0,1,0,0,0,0,0,0,0,1,1672,1,1672,Married,PhD,0,26,1
10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,6,2197,1,0,0,0,0,0,0,0,1,0,26,0,26,Divorced,Master,0,8,0
38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,7,2573,0,0,0,1,0,0,0,0,1,0,229,0,229,Together,Master,0,11,0
40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,8,2786,0,0,0,1,0,0,0,1,0,0,117,1,117,Together,Graduation,1,9,1
46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,8,2767,1,0,0,0,0,0,0,0,0,1,259,0,259,Divorced,PhD,2,17,1
68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,7,2653,0,1,0,0,0,0,0,0,1,0,1174,0,1174,Married,Master,0,18,0
49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,7,2463,0,0,1,0,0,0,0,0,1,0,62,0,62,Single,Master,2,6,0
67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,6,2339,0,1,0,0,0,0,0,0,0,1,878,0,878,Married,PhD,1,28,0
23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,7,2459,0,1,0,0,0,1,0,0,0,0,45,0,45,Married,2n Cycle,1,9,0
42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,6,2297,0,0,0,0,1,0,0,1,0,0,63,0,63,Widow,Graduation,1,7,0
48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,7,2672,1,0,0,0,0,0,0,0,0,1,860,1,860,Divorced,PhD,0,24,2
80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,7,2585,0,1,0,0,0,0,0,1,0,0,1293,0,1293,Married,Graduation,1,21,0
20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,7,2633,0,1,0,0,0,0,0,0,1,0,46,0,46,Married,Master,1,7,0
